Freq (kHz),mA,RSEL,DCO,MOD,DIVM
"99,7","0,53",0,0,0,3
"138,4","0,57",1,0,0,3
"196,6","0,62",2,0,0,3
"290,6","0,71",3,0,0,3
"393,7","0,81",4,0,0,3
"505,3","0,91",5,0,0,3
"589,3","0,99",6,0,0,3
"666,1","1,06",7,0,0,3
"986,3","1,34",7,4,0,3
"1.458,0","1,75",7,7,0,3
"1.971,0","1,87",7,4,0,2
"2.916,0","2,53",7,7,0,2
"3.940,0","2,91",7,4,0,1
"4.096,0","3,02",7,4,11,1
"5.827,0","4,05",7,7,0,1
"7.368,0","4,67",5,5,29,0
"7.870,0","4,94",7,4,0,0
"11.612,0","6,88",7,7,0,0

Freq (kHz),mA,RSEL,DCO,MOD,DIVM
"4.094,0","3,27",7,4,11,1
"7.366,0","5,10",5,5,29,0
